,Location of death (city)
0,Willits
1,Detroit
3,Carlsbad
4,Sacramento
5,Ellenwood
6,Kinston
8,Uniontown
9,Baltimore
11,Pontiac
12,Dothan
13,Atlanta
14,Memphis
16,White Springs
17,York
18,Charlotte
19,Muscoy
20,Eastpointe
21,Virginia Beach
22,Lucasville
23,Downey
24,Mechanicsville
25,Hayes
27,Savannah
28,Salt Lake City
29,Moreno Valley
30,West Columbia
31,Bala Cynwyd
32,Philadelphia
33,Penn Hills
34,Oakland Park
35,Tampa
36,Midwest City
37,Garland
38,Clifton
40,Jackson
41,Phoenix
42,Modesto
43,Colby
44,North Tustin
45,West Bradford Township
46,Richmond
47,Reno
48,Joliet
49,Astoria
52,Cleveland
53,Kansas City
54,Sumner
55,Benton
57,Raynham
60,Columbus
61,San Antonio
62,Albuquerque
63,Waiʻanae
64,Arnold
65,Providence
66,Jersey City
67,Oakland
68,Waterford Township
69,Grand Island
70,Little
71,San Diego
73,National City
74,New Castle
77,Long Beach
78,Pompano Beach
79,Picayune
80,Southgate
82,Boca Raton
83,Harlem
84,Kingston
85,Los Angeles
86,Harrisburg
87,Ewa Beach
89,Pittsburg
90,Franklin
91,Laurel
93,Stockton
94,Queens
95,Las Vegas
96,Mather
98,Westminster
100,Pico Rivera
101,Hemet
102,Brooklyn Center
103,Colorado Springs
104,Montrose
106,Toledo
107,Commerce City
108,Miami
111,Irvington
112,Peoria
114,Meridian
115,Houston
117,Augusta
118,Hoyt
119,Montebello
120,Fresno
121,Farmersville
123,Healdsburg
124,Lake Forest
125,Layton
128,St. Louis
129,Clearwater
130,College Park
131,Thompson's Station
132,Forest Hill
136,Indianapolis
138,Wilkinsburg
139,Pagedale
140,Oklahoma City
141,Daly City
142,Chicago
144,Hiawatha
145,La Vista
147,Bronx
148,New York City
149,Santa Claus
150,Inman
151,Nashville
152,San Jose
153,Wood River
156,Salter Path
157,Santa Rosa
158,Chesnee
162,Nicholls
163,Pleasant Grove
165,Spokane
166,Pleasant Hills
168,Wentzville
169,St. Charles
170,Siren
172,Gallup
175,Chandler
176,Brooklyn Park
177,Greene
178,Avondale
180,San Bernardino
181,Holton
184,West Deptford
185,New Orleans
186,Sallisaw
187,Camp Pendleton
189,Carnegie
191,Pasadena
192,Denver
194,Williamston
195,Belton
196,Arapahoe
199,Wiggins
202,Jefferson
206,Canton
209,Edwards
210,Gridley
211,Abington
212,Jacksonville
214,Austin
215,Town Creek
216,Brooklyn
220,Howard City
221,Tallmadge
223,Milledgeville
226,Whiting
227,Andover
229,Turlock
230,Norfolk
232,Pownal
233,Gulfport
234,Thousand Oaks
235,Gillett
236,Jack
238,South Boston
240,Chattanooga
242,Windsor
243,Santa Ana
244,Gilbert
245,Trenton
246,Providence Forge
248,Seattle
249,Berkeley
250,Palm Springs
251,Altamont
252,Excelsior Springs
253,Levelland
254,Douglasville
256,Cayce
257,Anchorage
258,Cincinnati
260,Fordyce
261,Springfield
262,Madison
264,Elizabeth
265,Troy
268,Amarillo
269,East Rutherford
272,Sausalito
273,Lynwood
276,Kennesaw
277,Gray Court
278,Pawleys Island
280,Holly Springs
281,Farmington
282,Riesel
290,Cyclone
293,Havertown
296,Alameda
297,Rohnert Park
298,Concord
300,Owensville
301,Nutley
304,Aurora
306,Ft. Pierce
308,Duquesne
309,Fort Payne
310,Riverside
311,Big Bear
312,Westfield
314,Macon
315,GIbbon
316,Portland
318,Anaheim
320,Lakewood
322,Bakersfield
324,Minneapolis
325,Sapulpa
326,Broussard
327,Mount Clemens
328,Marcellus
330,North Charleston
331,Albany
332,Upper Marlboro
333,Edgefield
334,Temple Hills
339,Egg Harbor City
340,Moorpark
341,Somerville
342,Livingston
344,Waterloo
345,Spartanburg
347,Columbia
348,Fort Myers
351,Hazel Crest
352,Pittsburgh
353,Green Township
355,Fayetteville
356,Orlando
357,Stilwell
358,Marietta
362,Amsterdam-Churchill
363,Woodbury
364,Rocky Mount
366,Boynton Beach
367,Continental Divide
368,Boise
369,Baton Rouge
370,Tarpon Springs
371,Pacific Palisades
372,Hawk Point
373,Discovery Bay
376,Talladega
377,Empire
378,Dallas
379,Pleasanton
383,Clarksville
384,Turtle Creek
386,Braxton
391,Liberal
393,Corpus Christi
394,Grand Junction
395,Hardyville
397,San Francisco
400,Jim Thorpe
401,Idaho Falls
402,Carthage
403,Louisville
405,Hollywood
407,Tucson
408,Lorain
409,Bloomington
412,Churchville
413,Beebe
414,Hinesville
419,Charlack
420,Redding
421,Conroe
423,Plymouth
425,Bosque Farms
429,Berryville
435,Joplin
436,Seneca
437,Haines City
438,Berkeley Township
440,Tulsa
442,Braselton
443,Elgin
444,Glendive
446,Hart
447,Fairfield
448,Tempe
449,Oregon
450,Danville
451,Berwyn
452,Clarkesville
454,Marion
455,Killeen
457,El Paso
458,Carmichael
461,Omaha
463,Salinas
465,Dearborn
467,"West Town, Chicago"
468,Rolling Hills
472,Carson
474,Gilcrest
475,Woodland Hills
476,Towanda
480,"South Shore, Chicago"
483,Cartersville
484,Delray Beach
487,Rialto
490,Bristol
491,Lubbock
494,Graston
496,Bingham
497,Hilmar
499,Flagstaff
500,Crawfordsville
501,Wolcottville
502,Suffolk
503,Sunnyvale
504,Kinloch
506,Countryside
507,Newark
508,Topeka
510,McDonough
513,Maple Valley
514,Seymour
516,Robinsonville
519,Central
520,Rosemead
521,Gardena
523,Stanton
530,Chicago Heights
531,Oglesby
532,Clinton
534,Muskogee
535,Tishomingo
536,Prospect Heights
539,LaBelle
540,St. Petersburg
542,Austell
543,Lima
544,East St. Louis
546,Merced
547,Nipinnawasee
548,Ashley
549,Yukon
551,Huntsville
552,Lancaster
555,Watsontown
560,Hartford
561,Onsted
562,Battle Ground
563,Norwalk
566,Longmont
568,Greenville
569,North Las Vegas
573,Mount Airy
574,Benton Harbor
576,Fort Lauderdale
577,Falls Church
578,Pacoima
579,Sicklerville
581,Owings Mills
582,Union
583,Slainesville
584,Affton
585,Montgomery
588,Oak Creek
591,Rancho Cucamonga
592,Hilo
594,Menominee
595,Fairfax
597,Goodman
599,El Segundo
600,Placerville
601,Roanoke
602,Sarasota
606,Las Cruces
607,Warrenton
612,North Hollywood
614,Rogers
615,Hendersonville
616,North Augusta
617,Grovetown
618,"Grand Boulevard, Chicago"
621,Harlingen
622,Ferguson
623,Malvern
624,Manhattan
625,Inglewood
632,Whittier
634,Riverdale
635,Haughton
637,Parkesburg
638,Independence
640,Battle Creek
641,Little Rock
642,Grand Coteau
643,Rancho Cordova
644,Bellevue
653,West Dallas
657,Adrian
658,Ventura
659,Rio Rancho
660,Opelousas
662,Ambler
663,Mesa
664,Fairview
665,Williamstown
666,Ambrose
667,Honolulu
668,Shreveport
670,Lebanon
671,Terre Haute
678,Champaign
679,Ceres
680,Milwaukee
681,Watervliet
682,Corning
686,Warren
688,Pensacola
690,Potts Camp
692,North Judson
694,Crownpoint
695,Merrillville
696,Gary
697,Euclid
698,St. Joseph
702,Cripple Creek
703,Cambridge Township
706,Wrightstown
708,Hackettstown
711,Akron
713,Tomball
714,Monroe
715,Orleans
717,Mountain View
721,Santa Fe
723,Saginaw
724,Coffman
725,Lake Geneva
729,Vichy
730,Beverly Hills
731,Zebulon
733,King City
734,Monahans
737,Fairbanks
738,Pahrump
744,Borrego Springs
745,Valley Cottage
747,Fort Valley
749,Monrovia
750,Manteca
751,La Porte
752,Roxbury
757,Pleasant Ridge
760,Kent
761,Baytown
762,Portsmouth
764,Bloomingdale
766,Flint
767,Evansville
768,Birmingham
769,Costa Mesa
770,Nogales
771,Sioux City
772,Cahokia
774,Pine Valley
776,Edina
777,Owensboro
778,Bethesda
779,Camp Hill
780,Santa Clarita
781,
782,Lena
783,Marina Del Rey
785,St. Paul
786,Ankeny
787,Tallulah
790,Wayne
792,Creve Coeur
796,Belleville
798,Syracuse
800,Hayward
803,East Windsor
805,Sylmar
806,Lexington
807,Ontario
808,Huntington Park
809,Dale
812,Sayre
817,Decatur
818,Encino
819,Altus
820,La Habra
821,Landes
822,Grasonville
826,Cedar Rapids
827,Redwood City
828,Essex
830,South River
831,Bexley
833,Ypsilanti
834,Union Gap
839,Corona
840,Dorchester
841,Paris
842,Mantua
845,Huffman
847,Ketchikan
849,Bossier City
851,Renton
854,Eden
856,Bay Village
857,D'Iberville
858,Rochester
861,Barberton
863,Jonesborough
864,Lake Oswego
867,Palmer
868,Strawberry Plains
869,Oxnard
871,Citronelle
875,Sherwood
876,Anniston
877,Orange
880,West Seattle
882,Dayton
883,Charlottesville
884,Harwood
889,Athens
891,Rockaway Beach
893,Paterson
894,Mauldin
895,Croydon
896,Spotsylvania
897,Success
898,San Rafael
899,Santa Paula
900,Woodland Park
902,Needles
903,Bolivar
904,Ligonier
905,Jennings
908,Escondido
911,Prescott
914,Tacoma
918,West Branch
922,Winchester
923,Gainesville
926,Natchez
927,Capitola
928,Kutztown
929,Hixson
930,Cozad
932,Benoit
933,Youngstown
936,Vernalis
939,Oneida
940,Odessa
942,Knoxville
943,Kirkersville
945,Fountain Valley
947,Oceanside
948,Ionia
950,Richland
953,Gallatin
954,Kremmling
958,Ardmore
959,Valley Glen
962,Cape Girardeau
963,Westland
965,Katy
970,Walnut Creek
975,Hornell
978,Chula Vista
980,Floyd
985,Winter Haven
986,Kelso
987,Alton
988,Clinton Township
990,Wichita
996,Corinth
1000,Alhambra
1001,Warrensville Heights
1008,Lakeland
1013,Lindenwold
1014,Englewood
1017,Industry
1018,Gentry
1019,Seminole
1021,Lincoln
1022,Reedsburg
1024,Elm Creek
1028,Sells
1033,Preston
1034,Sterling
1036,Cayucos
1037,Dover
1041,Dunkirk
1042,Rockford
1043,Ringwood
1048,South Bend
1056,Alpharetta
1057,Scarborough
1058,Durand
1060,Ponchatoula
1062,Buena Park
1063,Weir
1065,Ridge
1066,Shelby Township
1067,Hackensack
1068,San Dimas
1069,Vassar
1070,Hydro
1071,Bay City
1072,Port Hadlock
1074,Carbondale
1076,Edmond
1077,Franklin Township
1078,Frankfort
1079,Bryan
1080,Highland
1081,Oxford
1084,Spencer
1085,Pink
1086,West Chester
1088,Fridley
1096,Bellflower
1098,Boston
1106,Cowpens
1109,Spanish Fort
1110,Bullhead City
1111,Goose Creek
1112,East Petersburg
1116,Kearny
1117,Lawton
1118,Pearland
1119,Yorba Linda
1121,Vallejo
1122,Moriarty
1125,Dana Point
1127,Harvey
1131,Stuart
1132,Collingswood
1134,Van Nuys
1135,Palestine
1136,Bossier CIty
1139,Goshen
1140,Waipahu
1145,Mesquite
1147,St. Augustine
1148,Mobile
1149,Apache Junction
1150,Portage
1151,Millington
1153,Garden Grove
1155,Kentwood
1159,Bay St. Louis
1160,Hallsville
1161,Iowa City
1165,Pine Bluff
1166,San Luis Obispo
1169,Bogue Chitto
1171,Whitehall
1172,Puyallup
1174,West Pelzer
1181,Huntington Beach
1182,Fallbrook
1183,Nampa
1186,Garfield
1187,Vacaville
1192,Walker
1193,Machesney Park
1194,Central City
1195,Calabasas
1196,Virginia City
1200,Netcong
1201,Bladenboro
1202,Hot Springs
1204,Hawthorne
1206,Welch
1208,North Bay Village
1210,Collinsville
1212,Cupertino
1216,Perry
1217,Washington
1218,High Point
1219,Maysville
1220,Statesboro
1221,Angleton
1222,El Cajon
1226,Pascagoula
1228,Buchanan
1229,Citrus Heights
1230,Northridge
1231,Glendale
1233,Fort Wayne
1235,Lapeer
1236,Kimball
1238,Brewster
1239,Bozeman
1240,Duluth
1241,Uniondale
1243,Wathena
1244,Midlothian
1245,LaSalle
1252,Ocean Springs
1258,Vista
1260,Paradise Valley
1261,Edgewood
1262,Wahiawa
1266,Vernon
1269,Deane
1271,Swainsboro
1273,Reeds Spring
1275,St. Helens
1276,McKinney
1277,Lindenhurst
1281,Arlington
1286,Cottonwood
1288,Zion
1292,St. Pauls
1293,Waukesha
1294,Freeport
1297,Diamond
1300,Morgantown
1302,Killingly
1303,Fremont
1307,Fargo
1313,Hillside
1314,Henderson
1316,Simi Valley
1317,Princeton
1318,Gresham
1321,Manchester
1322,Norman
1328,Santa Cruz
1330,Missouri Valley
1331,Chouteau
1332,Elk City
1334,Dundalk
1335,Hamilton Township
1336,Jefferson City
1337,Beaverton
1339,Donelson
1340,Cecilia
1341,Bonduel
1342,Warsaw
1343,Sparks
1344,Owasso
1345,Elkhart
1347,New Tripoli
1350,Stone Mountain
1351,Seaside
1354,Tanner
1356,Saltillo
1357,Tupelo
1361,Birch Bay
1368,Charleston
1369,Pawhuska
1370,Brandon
1371,Dunnellon
1377,Nottingham
1378,DeWitt
1380,West Palm Beach
1387,Avon
1388,Asheville
1390,Perry Hall
1392,West Hollywood
1396,Cherry Hill
1399,Miracle
1402,Palmdale
1406,Florence
1407,South Haven
1410,Stirling City
1411,Almond
1417,Hampton
1418,Pembroke Pines
1420,North Little Rock
1426,Washington Terrace
1427,North Miami Beach
1428,Asheboro
1429,Imperial Beach
1433,Hanford
1435,Ryan
1439,Chaska
1441,Perris
1442,Gorst
1445,Texas City
1447,Norcross
1449,Council Bluffs
1451,Antioch
1456,De Soto
1458,Greenwood
1460,Pontoon Beach
1471,Romoland
1472,Canoga Park
1474,Chesapeake
1482,Blountville
1483,Warner Robins
1484,Paramount
1488,San Clemente
1490,Stevenson Ranch
1496,Levittown
1499,Florissant
1500,Holiday
1501,Jones
1507,Newman
1511,Maricopa
1512,Brazil
1514,Meadow Lakes
1518,Copley
1519,Gilroy
1522,Clayton
1523,Lawndale
1526,Sonoma
1528,Aspen
1529,Des Moines
1533,Central Islip
1539,South Lake Tahoe
1541,Byram
1544,Humble
1545,Williston
1548,Tumwater
1549,Addis
1554,West Norriton
1557,Allentown
1558,Martinez
1564,Toccoa
1565,Aldie
1566,Lowell
1567,Bowie
1570,Vinita
1571,City of Industry
1573,Ironwood
1574,Espanola
1580,Hamersville
1582,Heathsville
1585,Lake Los Angeles
1586,Rosamond
1589,Idaho City
1593,Cameron Park
1598,Mineral
1601,Elk Grove
1602,Mountain Top
1604,Granite City
1605,El Monte
1606,Camden
1608,Gillette
1609,Red Rock
1610,Lafayette
1612,Petaluma
1619,Descanso
1621,Brooklawn
1622,Goodland
1623,Marshalltown
1631,Dolton
1634,Ruddock
1636,Roan Mountain
1637,Aloha
1638,Deerfield Beach
1639,West Covina
1640,Diamond Bar
1645,Litchfield
1647,Eagar
1649,Cookeville
1657,Waukena
1659,Coeur D'Alene
1660,Upper Black Eddy
1661,Compton
1663,Los Lunas
1664,South Gate
1665,Crescent City
1666,Caro
1671,Wauwatosa
1672,Hamilton
1683,Maywood
1695,Chanhassen
1698,Kealakekua
1700,West Brattleboro
1701,Tennille
1702,Junction City
1705,Lacey
1707,Muskegon Heights
1708,Carson City
1709,Lodi
1714,Azusa
1715,Williamsburg
1721,Carol Stream
1724,Milton
1727,Waukegan
1728,Houma
1731,Florien
1732,Jena
1734,Las Animas
1737,Del Valle
1739,SeaTac
1741,Vance
1742,Newport News
1743,War
1744,Pahoa
1748,Indianola
1749,Holt
1754,Ailey
1762,Angola
1763,Chatham
1765,McAlester
1766,Masontown
1767,Sandia Park
1768,Spokane Valley
1769,Auburn
1771,Tyler
1773,Ahwatukee
1775,Sikeston
1778,Corbin
1779,Lake Worth
1780,Lutherville
1782,Mendota
1783,Fallsburg
1784,Waikoloa Village
1786,Great Bend
1790,Cloquet
1792,Hatfield
1793,Hialeah
1795,Delavan
1796,Rio Grande
1803,Parkville
1804,Venice
1805,Imlay City
1808,Horn Lake
1811,Plainfield
1812,Orem
1813,Bountiful
1814,Fontana
1815,Alexandria
1817,Gibsonburg
1818,Myrtle Beach
1822,Vancleave
1825,Chico
1826,Prince George
1827,Naperville
1828,Orange Park
1834,Grandview
1836,Nelson
1838,Porterville
1839,Partlow
1840,Mission Hills
1844,Midvale
1847,Chesterfield
1849,Indio
1851,Morehead
1860,Kurtistown
1861,New Vienna
1864,New Caney
1867,Grenada
1873,Crown Point
1875,Cuyahoga Falls
1880,Mayfair
1881,Madera
1886,Big Rapids
1891,Hoover
1895,Northglenn
1896,Joppa
1901,Mill Creek
1902,Ringgold
1903,Anderson
1905,Newport Beach
1906,Honey Brook
1910,Scottdale
1912,Robbins
1913,Groveland
1915,Chester
1919,Urbandale
1925,Spring Valley
1926,Bone Lake
1929,Lemoore
1930,Bernards
1938,Mohave Valley
1941,Maryland City
1944,Waterbury
1946,Parma Heights
1949,Pauma Valley
1953,Elverta
1955,Deason
1956,Bay
1957,Morrisville
1958,Egg Harbor
1959,Pekin
1962,Yucca Valley
1964,Cheboygan
1965,Huntington
1966,Pottstown
1967,East Orange
1972,Tryon
1973,Brooksville
1976,Largo
1978,Spade
1980,Maryville
1982,Roseland
1983,Melbourne
1984,West Des Moines
1985,Palo Alto
1988,Crossville
1991,Calvin
1992,Niles
1994,Highland Park
1996,Santa Clara
1997,Sharon Springs
1998,Olathe
2000,Hilliard
2002,Lake Station
2004,Normal
2006,Richfield
2008,Fall River
2012,Cosby
2016,Tompkinsville
2017,Monona
2018,Miami Gardens
2019,Sandy Springs
2020,Christiansburg
2021,Crystal City
2025,Biloxi
2031,Toms River
2037,El Dorado
2047,San Pedro
2049,Bangor
2050,Fort Smith
2055,Quanah
2057,Bloomfield
2059,North Platte
2062,Flemingsburg
2063,Waynesville
2064,Bellport
2070,Celebration
2072,Martin
2074,Staten Island
2076,Aiea
2077,White Settlement
2079,Montclair
2085,Ballwin
2086,Fredericksburg
2090,Castaic
2096,Greeley
2097,Holland
2100,Charlton
2104,Robinson
2105,Fitzgerald
2109,Bunker Hill
2112,Riverview
2113,Chamblee
2115,Wingate
2118,Brentwood
2121,League City
2122,Greensboro
2123,Tallahassee
2126,Troy Mills
2127,Hazel Park
2128,Colon
2131,Jeffersonville
2133,Kirkwood
2134,Loma Linda
2135,Rio Linda
2137,Oak Vale
2140,Visalia
2143,Newton
2145,Riverhead
2146,Pueblo
2150,Michigan City
2151,Yorktown
2152,Henrico
2153,Winnetka
2155,Pollock Pines
2159,Zephyrhills
2168,Auberry
2172,Joaquin
2174,Lincoln Park
2186,Parkland
2189,New Berlin
2191,American Canyon
2194,Arabi
2195,Broken Arrow
2196,Coalwood
2197,Port Allen
2200,Ririe
2204,Chatsworth
2205,Keshena
2206,Mojave
2211,Boyertown
2213,Inverness
2215,Kaltag
2218,Johnstown
2221,Brainerd
2225,Drakesboro
2226,Bethlehem
2232,Russellville
2235,Oak Harbor
2237,Galesburg
2239,Summersville
2240,Daleville
2242,Casa Grande
2243,Tarzana
2244,La Crosse
2245,Shawano
2247,Lake Charles
2249,Big Rock
2250,Walterboro
2251,Weston
2255,Hilton Head Island
2257,Villa Rica
2258,Storm Lake
2261,Rogersville
2266,Blair
2267,Manor
2270,San Joaquin
2271,Parma
2274,Port Orchard
2277,San Fernando
2279,Hesperia
2281,East Point
2282,Rolling Meadows
2284,Golden
2287,Utica
2288,Denton
2295,Welsh
2296,Seaman
2297,Green Bay
2301,Schenectady
2302,Hopewell
2304,Garden City
2305,Elderwood
2306,Muncy
2308,Oldsmar
2309,Buckhead
2310,Marengo
2312,Cambridge
2313,Valparaiso
2314,Garnerville
2315,Crestline
2316,Westchase
2318,Laingsburg
2323,Metairie
2325,Upland
2327,Centreville
2330,Galveston
2332,Clarksdale
2333,Mendham
2337,San Angelo
2338,Ebro
2339,New Britain
2341,Harriman
2342,Kissimmee
2343,Hillsboro
2344,Medicine Lodge
2350,Peachtree City
2352,Pomeroy
2360,Blackduck
2361,Ramona
2362,Willard
2363,Banning
2367,Lake Isabella
2376,Goodlettsville
2384,Phenix City
2385,Sierra Madre
2387,Senatobia
2388,Massillon
2390,Provo
2397,Hattiesburg
2402,Sugar Land
2403,Roanoke Rapids
2406,Mission Valley
2407,Delaware
2411,Clearlake
2412,Tucker
2417,Harper Woods
2421,Leicester
2425,Mustang
2429,Randolph
2430,Shawnee
2432,Foster City
2434,Broomfield
2437,Everett
2441,Rock Hill
2444,Orange City
2448,Pomona
2450,Point Marion
2451,Hudson
2452,Hastings
2458,Carrollton
2460,Boyle Heights
2463,Folsom
2464,Wilmington
2465,Afton
2470,Garner
2471,Perryman
2472,Hillsborough Township
2474,Trilby
2476,Daytona Beach
2483,Oakley
2484,East Peoria
2485,South Richmond
2488,Sturtevant
2497,West Haven
2498,Brodnax
2500,Palm Harbor
2502,Currie
2505,Novato
2506,West Alexandria
2507,New London
2508,Radcliffe
2510,Coldwater
2516,Roswell
2517,Flomaton
2519,Rosemount
2521,Kaneohe
2526,Genoa Township
2527,Fort Collins
2532,Park Ridge
2535,Lusk
2537,King of Prussia
2541,West Manchester Township
2546,Rochester.
2548,Gadsden
2549,Galloway
2550,Vanport
2551,Walls
2554,Brownstown
2556,Spring Hill
2557,Minong
2560,Laguna Beach
2561,Kewa Pueblo
2563,Terra Bella
2564,Fraser
2565,Vicksburg
2567,Apple Valley
2569,Eaton Rapids
2570,Cassopolis
2574,Smyrna
2575,Evans
2576,San Marcos
2582,Bowman
2584,Westlake
2585,O'Fallon
2587,Burlingame
2592,Arroyo Grande
2593,Ferndale
2594,Dora
2596,Olympia
2598,Bluffton
2599,Red Bluff
2601,Dimondale
2602,Lake City
2605,Grand Rapids
2609,Apopka
2610,Woodinville
2616,Burnside Township
2628,Corcoran
2629,Seward
2635,Eldon
2636,Scranton
2637,Coopersville
2638,Littlerock
2644,Reseda
2650,Lake Placid
2651,Selma
2660,Chino Hills
2661,Seal Beach
2663,Artesia
2665,Sun Prairie
2668,Homestead
2671,Lompoc
2673,Heidelberg
2680,Leavenworth
2681,Elsberry
2685,Bellaire
2687,Le Mars
2688,Trimble
2690,Chula
2694,Emporia
2695,Wantage
2699,Pinellas Park
2700,San Gabriel
2701,Exmore
2705,Metter
2711,Leighton
2715,Saucier
2718,Cushing
2721,Cheyenne
2723,Upper Tyrone Township
2724,Lansing
2726,New Iberia
2731,Palos Hills
2734,Yakima
2742,Desert Hot Springs
2745,Franklinton
2746,Great Falls
2747,Parkton
2749,Roland
2752,Buford
2766,Forest Park
2772,Hermanville
2777,Forest Grove
2778,Winton
2779,Burbank
2781,New Post
2782,Piscataway
2783,Roseville
2784,South El Monte
2789,Stone Park
2792,Alpine
2795,Allenton
2796,Brighton
2797,Richmond Hill
2798,Price
2803,Glen St. Mary
2805,Claremont
2810,Normandy
2813,Creswell
2816,Poolesville
2817,Childersburg
2821,Kenner
2823,Middleboro
2826,La Quinta
2832,Little River
2834,Gurnee
2835,Underwood
2849,DeKalb
2850,Dixmoor
2851,Shorewood
2853,West Orange
2857,Accomac
2858,Ironton
2859,Chillicothe
2869,Otis Orchards
2871,Verona
2873,Taft
2874,Lockport
2875,Frazier Park
2878,Nags Head
2880,Davenport
2881,Flour Bluff
2882,Denham Springs
2885,Lukeville
2891,Graham
2892,Santee
2896,Arcata
2923,Miami Beach
2926,Deale
2933,Lorton
2936,McDonald
2937,Morristown
2943,Trumbull
2944,Albrightsville
2945,Petersburg
2947,Acton
2951,Ukiah
2955,Delhi
2956,Beaumont
2959,Rapid City
2969,Tulare
2975,Theodore
2982,Raymer
2983,Holtville
2991,Onalaska
2992,Shoreline
2994,Portola Valley
2998,Murfreesboro
3000,Ellisville
3001,Malibu
3005,North Fort Myers
3006,Traver
3009,Holly
3011,Scottsdale
3016,Amory
3021,Fox Lake
3025,Ohatchee
3032,Arcadia
3040,Mission
3044,Ravenel
3046,South Charleston
3050,Victorville
3052,Belvidere
3054,Valley Center
3055,Social Circle
3063,Glen Burnie
3066,Mamou
3073,Boone
3082,Bushnell
3083,Covington
3084,The Pinery
3085,Webb
3086,Boones Mill
3088,Del City
3092,Mendon
3093,New Franklin
3095,Torrance
3097,Yates Center
3100,Hazleton
3102,Blakeslee
3103,Gig Harbor
3105,Morris
3126,Poland
3128,Fort Lawn
3137,Herriman
3146,Robbinsdale
3154,Julian
3155,Chickasha
3157,Monson
3160,Stewartville
3164,Twentynine Palms
3165,Bethany
3167,South Tucson
3169,Forest Acres
3180,Washington Township
3181,Ripon
3185,Grand Isle
3186,Fenton
3191,Tuscola
3193,Frederick
3194,Calhoun
3195,Pell City
3198,Simpsonville
3200,Prestonsburg
3206,St. Ignace
3210,Dubuque
3211,Beaver Falls
3212,Van Wert
3214,Halethorpe
3215,Madisonville
3217,Ensley
3219,Thousand Palms
3221,Magnolia
3224,River Ridge
3225,Highland Charter Township
3227,Derry
3229,Walnut Ridge
3234,Des Plaines
3236,Batesburg
3243,Prosperity
3245,Herrin
3246,Thornton
3250,Escalon
3251,Irvine
3254,Glenwood
3257,Liberty
3262,Paso Robles
3263,Lufkin
3264,Snohomish
3265,St. Robert
3266,Meeker
3267,Greenfield
3274,Vergennes
3281,Genesee
3283,Eldorado
3288,Roscoe
3289,Geyserville
3292,Elkins
3293,Sloan
3295,South Roxana
3298,Corte Madera
3299,Roslyn Heights
3302,Peach Orchard
3303,Bridgeton
3304,Union City
3306,Mead Valley
3309,Falls Mill
3311,LaFayette
3312,Palm Beach Gardens
3316,Chester Heights
3320,Turtle Lake
3321,Kodak
3322,Seale
3323,Eufaula
3324,Bellmawr
3326,Durham
3329,River Rouge
3330,Kapolei
3342,Middle River
3345,Wake Village
3346,Lillington
3351,Mayfield Heights
3352,Minden
3353,Easley
3354,Pleasant Township
3362,Yucaipa
3363,Globe
3368,Bismarck
3383,Stow
3384,Sheridan
3385,Uintah-Ouray Reservation
3386,near Park City
3390,Rubidoux
3391,Sloughhouse
3392,Lewisburg
3395,Barnwell
3397,Nome
3401,Dearborn Heights
3405,San Ramon
3409,Asher
3410,Ocean Township
3414,Lithonia
3415,Berea
3420,Templeton
3421,Paden
3422,Winona
3424,Hutchinson
3428,Muskegon
3429,Mocanaqua
3438,Lawrence
3439,Stanardsville
3440,Camarillo
3444,Cabot
3446,Coralville
3449,Lake Township
3450,Carterville
3451,Quartzsite
3454,Bradenton
3458,Baldwin Park
3464,Lacey's Spring
3470,Haslett
3472,Rayne
3475,Wainwright
3476,Raton
3477,Pineville
3479,Bedford
3481,Dry Ridge
3486,Sac City
3487,Raytown
3490,McCordsville
3491,Port Angeles
3500,Shingletown
3503,North Hills
3505,Dyersburg
3506,Lucerne Valley
3510,Opelika
3513,Feather Falls
3515,South Congaree
3517,Baxter
3518,Franklin Square
3520,Indian Rocks Beach
3522,Harbor City
3524,Spearville
3531,Glamis
3535,Iva
3540,Grandy
3541,Powder Springs
3542,Janesville
3545,Park Rapids
3548,Lasalle
3550,West Richland
3553,Locust Grove
3556,Brookhaven
3561,Vero Beach
3568,Kenosha
3570,Lindsay
3575,Amite City
3580,Woodlawn
3590,Green Lake
3591,Culver City
3592,South Sioux City
3593,Amesbury
3595,Sulphur
3597,Ojai
3599,Rocky River
3607,Elizabeth City
3608,Wright
3611,Kilgore
3613,Cicero
3618,Millersville
3621,Waianae
3624,Peculiar
3629,Rising Sun
3630,Vinemont
3642,Muncie
3647,Mitchell
