,Location of death (city)
18082,Haysville
18083,Cherry Valley
18084,Candor
18093,Hapeville
18097,Methuen
18107,Dingess
18141,Hoisington
18143,Claude
18149,Henryetta
18163,Ware
18165,De Kalb
18167,St. Johns
18168,Vernon Hills
18179,Sinton
18186,Washington City
18190,Hogansville
18195,Young Harris
18197,Pigeon Forge
18203,Maidsville
18207,Pelahatchie
18208,Rutherford
18223,Hermantown
18230,Homosassa
18232,Ballston Spa
18236,Highland Springs
18256,Blossom
18263,Mitchellville
18276,Conshohocken
18279,Mt Pleasant
18298,Redford Charter Twp
18310,Bergen
18327,Ludlow
18332,Dalhart
18336,Lorman
18338,Cantril
18339,Leslie
18341,Dewey
18346,South Euclid
18366,Helper
18369,Chunky
18376,Oak Grove
18385,Crookston
18388,McFall
18403,Au Sable
18405,Tchula
18417,Blaine
18418,El Dorado Springs
18426,Blountsville
18429,Kitts Hill
18431,Hartselle
18433,Jerome
18437,Spring Branch
18439,Divide
18450,Lucerne
18451,Ann Arbor
18455,Menlo Park
18468,Ladonia
18469,Matteson
18470,Americus
18472,Boyceville
18474,Chippewa Falls
18479,Shillington
18489,Deming
18491,Wausau
18498,Bunnell
18502,Clarkton
18504,Kewanee
18514,Mulvane
18515,Crittenden
18522,Brisbane
18526,Peach Bottom
18536,Versailles
18537,Point Arena
18542,Aztec
18545,Tuskegee
18558,Red Springs
18569,South Berwick
18577,las Vegas
18580,Trent Woods
18582,Richards
18588,Wildomar
18605,Mt Vernon
18613,Glenolden
18615,Beaver Dam
18619,MIdland
18628,Shoreview
18633,Paragon
18643,Deer Lodge
18644,Fairway
18652,Elbow Lake
18673,Pharr
18675,Islip
18676,Holly Pond
18677,Franklinville
18681,Safford
18686,Drexel Hill
18694,Key Largo
18700,Kaumakani
18710,Assaria
18718,Rosemont
18722,Huntley
18724,Little Elm
18733,Jourdanton
18734,Lake Jackson
18735,Robertsville
18737,Catskill
18738,Old Bridge
18740,Draper
18744,Crab Orchard
18759,Gunlock
18761,Sugarland
18764,Weymouth
18765,Charles Town
18766,Chapeño
18777,Rexburg
18788,Morenci
18796,Sunset
18808,Oak Hill
18810,Paducah
18819,Winesburg
18823,Lorena
18830,Calimesa
18831,Beaver Dams
18837,New City
18842,Nocona
18845,Smyrna Mills
18849,Fostoria
18851,Port St. Joe
18852,Dadeville
18853,Arleta
18855,San Manuel
18871,Tewksbury
18872,Del Rio
18875,Eaton Rapids Township
18877,Daphne
18886,Griffith
18896,Millbrook
18911,Ehrenberg
18912,Grand Ledge
18915,Pelzer
18932,Deltona
18937,Melrose
18942,Harbeson
18946,Claymount
18961,Firebaugh
18967,Bay Minette
18973,Follansbee
18981,Branford
18982,Ruth
19000,Sumas
19001,Lukachukai
19002,Munroe Falls
19004,Langtown
19010,Wapanucka
19011,White Oak
19014,Holley
19019,Port Trevorton
19034,Johnsonville
19041,Gravel Switch
19042,Encinitas
19047,Fort Ashby
19048,Peebles
19055,Fort George Meade
19069,Metropolis
19072,Warner
19078,Tonasket
19080,Tehachapi
19084,Rigby
19089,Jetmore
19094,Kellyville
19096,Cana
19098,Monon
19099,Gettysburg
19104,Sand Springs
19108,Salemburg
19109,Newalla
19118,Fall Creek
19125,Cañon City
19129,Waldorf
19131,Gibraltar
19142,Wilmore
19146,Irmo
19151,Tenaha
19152,Eldorado Springs
19162,Rufe
19164,Trinidad
19166,West End
19170,Clermont
19173,Bunch
19200,Chavies
19206,Hallettsville
19215,Wake Forest
19216,Secaucus
19221,Beacon
19228,Constantia
19231,Enfield
19264,Ruidoso
19295,Green Ridge
19299,Luray
19312,Fort Berthold
19320,Lyndhurst
19337,Falkville
19343,Byram Township
19345,Forreston
19349,Spring Lake
19357,Pájaro
19365,Beech Grove
19383,Kokomo
19385,Hutchins
19392,Hungry Horse
19402,Fort Totten
19405,Asbury Park
19407,Clanton
19416,Homedale
19420,Ronda
19424,Pellston
19433,Friant
19436,Malone
19443,Northville
19448,Wolf Creek
19452,Adger
19453,Meadow Bridge
19472,Hawaiian Gardens
19474,Lacey Township
19479,Bath
19487,Sugar Creek
19492,Missouri City
19494,Stonewall
19495,Crumpler
19498,Holiday Lakes
19502,Boulder Creek
19503,Parowan
19512,Watchung
19514,Vassalboro
19520,River Forest
19528,Dunsmuir
19531,Mascotte
19533,Southington
19536,Heflin
19567,Winnie
19569,Streetsboro
19571,Jesup
19572,White
19576,St Clair Shores
19581,Meadow Vista
19586,Studio City
19587,Brinson
19588,Pinnacle
19589,Yutan
19591,Wisner
19601,Shelby Charter Township
19618,Mt Shasta
19632,Powhatan
19640,Kahului
19672,Pittston
19679,Los Molinos
19687,Widener
19692,Bolton
19693,Hidalgo
19694,Irwindale
19697,Inyokern
19699,Shady Point
19710,Bloomfield Hills
19712,St Louis
19713,Hunters
19718,Grapeview
19719,North East
19722,Byng
19723,Cohasset
19731,Brick
19732,Arab
19733,Archdale
19737,Thonotosassa
19750,Iberia
19755,Mt. Vernon
19767,Dillsburg
19776,Merrimack
19779,Springtown
19780,Weitchpec
19781,French Lick
19783,Girardville
19793,Bernalillo
19816,Justin
19817,Aledo
19825,Pond Creek
19827,Wellman
19828,St Croix
19830,Eddyville
19840,Chalmette
19845,Lead
19850,Brodhead
19852,Cumberland Furnace
19853,St. Stephens
19857,Harrisonburg
19864,Sand City
19868,Auburndale
19871,Barberville
19872,Niceville
19874,Haywood
19879,Troutdale
19884,Blairsville
19896,Wilhoit
19902,Lovington
19903,Ponder
19905,Rossville
19906,Cunningham
19909,Rockport
19926,Hurst
19927,Woodbridge Township
19930,Monterey
19931,Hugo
19936,Aguanga
19941,Pinon Hills
19942,Lisle
19944,Old Saybrook
19950,Revere
19957,Evergreen
19962,Avella
19963,Bechtelsville
19971,Kirkland
19990,Truth or Consequences
19991,Wakarusa
20001,Pine Top
20004,Cambria
20007,Salix
20008,Casselberry
20011,Talking Rock
20016,New Paltz
20028,Smithville
20029,Hohenwald
20033,Fort Gibson
20035,Burkesville
20063,Hominy
20065,Lakeshire
20071,Wadesboro
20088,Dillon
20111,Crockett
20112,Selawik Village
20116,Little Egg Harbor Township
20123,Opa-locka
20132,Palmetto
20144,Fort Stockton
20152,Lampe
20153,Seagoville
20156,Stewartsville
20160,Wink
20164,Dunnigan
20165,Mahopac
20170,Von Ormy
20175,Beacon Hill
20180,Hughson
20186,Superior Charter Township
20188,Laramie
20200,Sportsmen Acres
20214,Healdton
20218,East Stroudsburg
20232,Mt Hope
20252,Linthicum Heights
20266,St Martinville
20267,Smartsville
20269,Waymart
20279,Pride
20296,Culbertson
20298,Santa Nella Village
20299,Rawlins
20310,Ragley
20319,Niobrara
20323,Carrizozo
20343,Cle Elum
20348,Peotone
20356,Belle Glade
20357,Petroleum
20361,Aransas
20378,Port Barre
20379,Meridianville
20392,Hespera
20403,Mountain Pine
20405,Alvarado
20414,Phenix
20427,Immokalee
20456,Uvalde
20469,Windom
20477,Barrow
20480,Kemp
20481,Maiden
20482,Canyon Country
20484,Cordele
20494,Beckville
20496,Arvonia
20501,Jal
20503,Donna
20518,Powdersville
20519,Cave City
20538,Fairborn
20548,Chadron
20549,East Troy
20550,Bailey
20557,Hesston
20558,Silver Springs
20562,Belfair
20569,Floresville
20587,Mount Ida
20588,Stevinson
20611,Colorado City
20616,Rosalia
20624,Birch Run
20636,Willow Park
20638,Lilesville
20649,Burnsville
20653,Byron
20664,Russiaville
20665,Fort Littleton
20671,Spencerville
20672,Palmetto Bay
20678,Okaloosa Island
20686,Braintree
20692,Grundy
20694,Waukee
20702,Splendora
20710,Fleming Township
20734,Notasulga
20739,West Springfield
20741,Rochelle
20745,Manatee
20760,Rotterdam
20768,Watkins
20771,Noma
20781,Silverhill
20782,Cache
20794,Greenbelt
20807,Silver City
20809,Berne
20811,Antigo
20818,Captain Cook
20834,Wood Village
20859,Lincoln Township
20860,Arden Arcade
20867,Presque Isle
20868,Cromwell
20872,Fort McCoy
20878,Kennedale
20884,Grafton
20889,Bear Creek Township
20895,Osteen
20905,Montague
20908,West Sullivan
20915,Fisty
20939,Solvang
20940,Sneads
20941,Washington Park
20944,Socorro
20951,Eastaboga
20958,Stoneville
20970,Newnan
20979,Pine Ridge
20981,Crane
20993,Orland
21001,Somerton
21002,Ishpeming
21017,Eagle Mountain
21022,Tiverton
21030,Pembine
21034,Montpelier
21050,Peterborough
21059,Bellville
21060,Manzano
21084,Clarklake
21087,Laguna Pueblo
21090,Frederica
21099,Flat Lick
21106,Guffey
21108,Ponca City
21112,Landrum
21130,Scurry
21136,Falcon Heights
21139,Raymond
21140,Carlstadt
21148,Orion Township
21159,East St Louis
21164,Kaplan
21172,Peachland
21173,Millen
21185,Port Vincent
21192,Keaau
21194,Buckhannon
21195,Naugatuck
21207,Lake Odessa
21211,Walland
21215,Pine River
21224,Estill Springs
21233,Golden Meadow
21244,Manchester Township
21254,Hammett
21276,Central Point
21277,Wilkesboro
21280,Little Mountain
21289,Mt. Sterling
21292,Harlan
21301,Napoleon
21311,Counce
21330,McKinleyville
21333,Greenbrae
21354,Myra
21364,Calumet Park
21367,Kuna
21376,Eagan
21384,Harker Heights
21394,Blue Grass
21398,Round Lake
21399,Port Clinton
21401,Brookport
21403,East Wenatchee
21411,Ennis
21423,Chevak
21424,Moss Bluff
21434,Montcalm
21451,Winooski
21457,St Cloud
21458,Rutherfordton
21463,Hawkins
21469,Ledyard
21470,Talbot's Corner
21475,Wyandotte
21479,Dairyville
21485,Brooklandville
21504,Kiln
21509,Groveton
21512,Ventnor
21513,Rector
21515,Markham
21524,Hessel
21538,Gatesville
21540,Wetumka
21550,Dunbar
21563,Blanchard
21583,Willoughby
21590,Sterrett
21593,Lake Panasoffkee
21597,Lanesboro
21605,Collins
21610,Dewy Rose
21617,North Royalton
21619,Livermore Falls
21622,Van Horn
21628,Torrence
21630,Brookville
21641,Montgomery City
21649,Okemah
21653,Clendenin
21657,Sissonville
21661,Hensley
21666,South Holland
21672,Ashtabula
21679,Fuquay-Varina
21680,Paradox
21685,Sahuarita
21689,Ladson
21706,Tickfaw
21710,Ludowici
21711,Lakeville
21729,Shenandoah
21740,North Versailles
21782,Bradshaw
21785,American Fork
21792,Fruitland Park
21808,Bardstown
21820,Culloden
21830,Badin
21833,Round Lake Beach
21843,Scipio
21844,Cantonment
21849,Granite Falls
21853,Stonewood
21855,Knox
21858,Burns Flat
21861,Coalinga
21869,Trona
21871,Lake Wales
21877,Desha
21881,North Riverside
21883,Campbellton
21888,Land O Lakes
21889,Chestertown
21893,Luck
21912,Gilmer
21916,English
21920,Yorkville
21921,Sewanee
21923,Tama
21925,Deerfield
21926,Sharon
21931,Fairland
21943,Reagan
21954,Onamia
21956,Rachel
21958,Laie
21966,Moraine
21976,New Concord
21978,Herndon
21979,Sharpsburg
21985,Emmett
21991,Belcourt
22003,Fritch
22004,Woodford
22008,Springhill
22017,Larimer
22029,Brooklet
22030,Oakfield Township
22041,Camp Verde
22046,Millston
22051,Groveport
22057,Mcallen
22062,Elloree
22065,Edwardsburg
22072,Kiowa
22089,Olympic Valley
22090,Miami Shores
22095,Crandall
22096,Panhandle
22125,Anadarko
22150,Topock
22168,Douglas City
22177,Efland
22178,Waukomis
22179,Bull Shoals
22195,Lake Alfred
22236,Fountain Inn
22242,Ladera Heights
22243,Strongsville
22244,Ash
22247,Haverstraw
22269,Cedar Point
22282,Saint Paul
22307,Denison
22339,Mathiston
22342,Francesville
22345,Manistee
22348,Forest Lake
22352,Port Charlotte
22354,Lawrenceburg
22355,Byars
22357,Ector
22360,Cranbury
22392,Berwick
22411,"Gold Canyon, AZ"
22417,Udall
22423,Suffield
22424,Mandan
22429,Orwell
22432,Batavia
22436,Brandywine
22450,West Linn
22460,Stewartstown
22475,Lewistown
22481,Bear
22489,Pāpa'Aloa
22494,Haworth
22497,Lewiston
22525,Estes Park
22527,Chickamauga
22538,Sunland
22559,Robertsdale
22589,Del Mar
22593,Maybrook
22604,Gallitzin
22607,Lemon Grove
22619,Mountain Home
22631,West Milwaukee
22639,Belfast
22649,Arundel
22651,Gerrardstown
22653,Centennial
22662,Petal
22671,Haverhill
22678,Shiner
22684,Sutton
22692,Orrington
22694,Sawmills
22711,Barbourville
22716,Stony Point
22744,Manhasset
22751,Lehigh
22757,Millerton
22762,Mebane
22771,Coopersburg
22775,Cave Creek
22776,Kouts
22777,Rowe
22781,Birchfield
22806,McCleary
22816,Fishers
22823,Pleasant View
22824,Chanute
22830,Fults
22847,Deepstep
22851,Hingham
22854,Benson
22873,Valencia
22875,Johnson Creek
22881,Lake View
22884,Grover Beach
22894,Wise
22900,St. Matthews
22909,West Union
22919,Tallapoosa
22947,Avenal
22949,Wellsville
22953,Grand Terrace
22954,Chowchilla
22960,Belleview
22965,Melba
22974,Oregon House
22984,Coushatta
22987,Cuba
22992,Marine City
22994,Spanish Springs
22995,Clarendon
22997,Kress
23001,New Straitsville
23004,Bon Aqua
23048,Birch River
23051,Luverne
23057,Conestoga
23061,Fairchance
23067,Yellville
23074,Pardeeville
23075,Steubenville
23103,Guymon
23107,Kettering
23108,New Milford
23109,Blooming Prairie
23111,Moundridge
23123,Fort Myers Beach
23125,Pittsfield
23126,Poultney
23127,Mount Hope
23157,Mason City
23159,Monett
23165,Youngtown
23172,West Valinda
23175,Mohrsville
23176,Ritzville
23181,Frametown
23182,Maple Heights
23188,Haymarket
23194,West Milford
23203,Bernice
23204,Spirit Lake
23213,Lane
23222,Long Branch
23224,Maumelle
23227,Inwood
23238,Coolin
23272,Smiths Grove
23284,Canandaigua
23288,Leeds
23295,Duarte
23347,Shaler
23348,Mansura
23351,Muldrow
23370,Fort Yates
23373,Nanticoke
23378,Horseheads
23381,Indiantown
23383,Grand Ronde
23385,Black River Falls
23399,Pippa Passes
23409,Batesville
23410,Kinder
23438,Flatwoods
23449,Ralston
23450,Crystal
23453,Pearl River
23454,Dakota City
23471,Cinnaminson
23474,Brazoria
23478,Chiefland
23479,Hedgesville
23487,Fort Hunt
23490,Woodburn
23497,Springfield Township
23505,Falcon
23511,Wimberley
23514,Penasco
23515,Brooklyn Heights
23516,West Plains
23517,Fairacres
23529,Tieton
23541,Hartsdale
23550,Margate
23563,Coral Springs
23573,Rose Bud
23588,Boron
23592,Wynne
23600,Valley Head
23605,Tabernacle
23612,The Colony
23613,Mulberry
23618,Schertz
23629,Saegertown
23632,Canaan
23637,Weslaco
23642,South Fulton
23664,Crowell
23667,Jayess
23669,Romance
23677,Camp Wood
23689,Keizer
23699,Sedona
23710,Scottsbluff
23715,Zavalla
23722,Spring Creek
23738,El Sereno
23746,Youngwood
23749,Gooding
23795,Decherd
23804,Little Orleans
23808,Walton
23809,Iron Station
23813,Diberville
23816,Nanty-Glo
23824,Tecumseh
23837,Piketon
23839,East Helena
23844,Winters
23850,South Glastonbury
23853,Nice
23862,Laguna Woods
23866,Brookland
23870,Grant-Valkaria
23905,Winter Springs
23906,Montezuma Creek
23907,Raymore
23910,Cocoa Beach
23915,Hernando
23930,Fort Washington
23951,Tiro
23952,Wamego
23953,Mercer
23983,Centerview
23984,Elkins Park
23994,North Manchester
24005,Pilot Station
24019,Holdenville
24022,Oak Lawn
24023,Fort Sumner
24029,Great Neck
24034,West Fargo
24041,Parmelee
24063,Taylorville
24065,Great Mills
24068,Timberlake
24079,Mannford
24083,Glenrock
24086,Bogalusa
24096,Nikolaevsk
24105,Mooresboro
24110,Gulf Breeze
24128,Dentsville
24129,Hartfield
24141,New Llano
24158,Molena
24168,Indian Head
24175,Volant
24176,Reynoldsville
24181,Shelocta
24186,Barron
24195,Oaks
24200,Feeding Hills
24203,Grantville
24206,Osseo
24207,Alaska Township
24211,Corfu
24214,Port Huron
24216,Lake Elmo
24224,Welby
24235,Lodge Grass
24236,Berrien Springs
24258,Foresthill
24259,Mackinaw
24264,Seligman
24266,West Olive
24272,Urania
24291,Moorland
24302,Box Elder
24307,Sandia
24310,Oakfield
24334,Hackett
24339,Glade Spring
24343,Newbury
24355,Granton
24356,Talihina
24371,Wales
24378,Martins Ferry
24380,St. Peters
24393,Statham
24396,West Melbourne
24400,McGrath
24410,Citra
24414,Stagecoach
24417,Glenns Ferry
24423,Everton
24430,Riverbank
24431,Cottonwood Heights
24449,Pocasset
24450,Mecca
24457,Lomita
24464,Merrick
24466,Mount Juliet
24469,Benton City
24479,Hardwick
24480,Deptford
24496,Iowa
24519,Nokomis
24528,South Salt Lake
24530,Big Wells
24559,Larwill
24561,Haleiwa
24571,Valley Springs
24574,Keystone
24577,Prompton
24578,Cabool
24603,Clemson
24604,Beale AFB
24608,Panora
24621,Homosassa Springs
24623,South Elgin
24625,Yankton
24630,Devils Lake
24631,San Andreas
24638,Copper Center
24642,Amity
24644,Melvern
24653,Bernville
24667,Excelsior
24670,Dilley
24693,Pattison
24694,Fletcher
24707,Naalehu
24714,Wassaic
24736,Peyton
24749,Lakemoor
24756,Niles Charter Township
24763,Cotuit
24765,Pilot Point
24769,Luxora
24770,Creola
24774,Oxon Hill
24775,Hereford
24780,Saint Mary's
24787,Ottumwa
24788,Seville
24790,Trumann
24793,Basking Ridge
24824,Gardiner
24829,Libby
24844,Richton Park
24846,Painesville
24869,Owosso
24870,Denair
24883,San Juan Capistrano
24886,Eastman
24898,Festus
24900,Enoree
24901,Lincklaen
24905,Closter
24920,Port Allegany
24925,Perrysburg
24927,Narrows
24929,Breitung Twp
24936,Kekaha
24938,Madison Township
24939,Peninsula
24957,Clarksburg
24958,Cheney
24965,North Knobs
24968,Chouteau Township
24976,Woodside
24988,Stanwood
24998,St. Albans City
25023,Walla Walla
25026,Manitowoc
25028,Garden Plain
25031,Hopkinsville
25037,Nichols
25038,Renfrew
25068,Stanfordville
25070,Marston
25076,White City
25079,Johns Island
25086,Epping
25099,Millbrae
25104,Scarbro
25107,Chiloquin
25108,Chinle
25109,Concord Township
25115,Lawtey
25120,Okarche
25145,Youngsville
25158,Kearns
25173,McBee
25185,Salmon Creek
25186,Martha Lake
25207,Vincennes Township
25220,Bandon
25225,St. Clair Shores
25231,West Baden Springs
25235,Charleston View
25242,Cobleskill
25257,Mantoloking
25262,Hayneville
25266,Fort Chiswell
25271,Greenwood Village
25274,Demopolis
25279,Weldon Spring
25302,Crested Butte
25312,Valley Grande
25324,Virginia
25339,Boulevard
25343,New Underwood
25344,Rainier
25372,Arvin
25375,Pacheco
25376,Mcdonough
25378,Bluewater Village
25379,Hachita
25385,West Wendover (Wendover)
25390,Palatine
25395,Commercial Point
25400,Rangely
25405,Atkins
25429,Wishek
25439,San Luis
25441,Apple Creek
25442,Two Rivers
25449,Lehighton
25458,Valrico
25471,Stone Ridge
25474,Wailuku
25491,Frostburg
25496,Tullahoma
25500,Beatty
25509,Waterville
25519,Alleghany
25520,Shallotte
25534,Albert Lea
25535,Southold
25564,Gardendale
25567,Leadwood
25572,Reddies River
25575,Eclectic
25586,Lake Magdalene
25588,Indian Village
25589,Sunman
25603,Swedesboro
25622,Fort Lupton
25623,Sperry
25628,Caney
25635,Breckenridge Hills
25643,Prosser
25648,Naschitti
25657,Century
25670,Mercury
25673,Richvale
25699,La Salle
25726,Lake View Terrace
25731,Crestwood
25734,Defiance
25735,Cinco Ranch
25739,Shoal Creek Township
25744,Apex
25745,Menallen Township
25746,Hubbard
25782,Maple Grove
25794,Sawyer
25804,Huger
25805,Townsend
25806,Miltona
25809,Struthers
25822,Mount Holly
25824,Sebewaing
25826,Gouldsboro
25827,Glenoma
25844,Hazel Dell South
25851,Joelton
25860,Isle
25861,Cofield
25872,Waleska
25873,New Florence
25879,Canfield
25896,Glen Carbon
25910,Kittitas
25912,Flat Creek B Township
25936,Thurmont
25944,Burnet
25950,Morton
25965,Rivanna
26003,Glendale Heights
26007,North Sacramento
26008,Santa Teresa
26017,New Lisbon
26022,Mexico Beach
26028,Canutillo
26040,Kalama
26044,Rushville
26055,Montesano
26056,Coon Rapids
26082,Hebbardsville
26083,Owingsville
26095,Havre North
26096,Hemphill
26103,Welcome
26109,Port Aransas
26116,Hiltons
26124,Vanzant
26131,Angel Fire
26134,Islip Terrace
26150,Sorrento
26154,Pennsboro
26155,Wytheville
26159,Tunbridge
26161,Parks
26163,New Virginia
26174,Jeffersontown
26178,Murchison
26188,New Boston
26197,Medina
26205,Blackwell
26209,Vicco
26210,Golden Hills
26221,Carriere
26253,Davidsonville
26261,Baltimore Township
26263,Collierville
26265,Ardsley
26267,Philadelphus
26276,Robstown
26289,Willowbrook
26292,Malo
26294,Battleboro
26309,Bonnyman
26316,Poteau
26317,Arpin
26320,Como
26330,Toppenish
26332,Canal Fulton
26356,Friendly Hills
26375,Sugarcreek
26376,Timberville
26386,Center Township
26392,Linwood
26396,Bacliff
26428,Bordentown
26435,Ruskin
26437,Mountain Grove
26443,Rosedale
26450,Port Royal
26458,Clay City
26467,Southern Shops
26473,Bellefontaine Neighbors
26479,City of Orange
26490,Ooltewah
26491,Porterdale
26498,Fosters
26521,Pemberton
26524,Ranburne
26525,Wesson
26534,Whitefish
26544,Novi
26545,Lock Haven
26550,Gibbon
26551,Roaring Spring
26575,Westwood
26580,Weare
26584,Sutter
26594,Safety Harbor
26599,Bunkie
26602,Hanceville
26604,Rifle
26609,Edray
26611,Whitakers
26613,Glenshaw
26633,Delmont
26639,Chetopa
26644,Ramseur
26652,Bruneau
26660,Springville
26662,Brule
26668,Baden
26669,Loup City
26672,Nicholasville
26673,Cleburne
26675,North Aurora
26681,Glennville
26686,Longmeadow
26690,Eddy
26691,Mayfield
26694,Leasburg
26711,Gordo
26713,La Verne
26714,Owatonna
26719,Tolleson
26745,Kaukauna
26746,Convoy
26768,West Lafayette
26769,Etoile
26778,Gulf Shores
26791,Resaca
26801,Loyal
26831,Soddy-Daisy
26833,Shannon
26841,Odd
26844,Hahira
26856,Richlands
26888,Drennen
26902,Newman Lake
26905,Herald
26922,Deer Island
26926,Elma
26944,Ethel
26950,Wendell
26960,Oakridge
26965,Fayette
26972,Warfield
26973,Story City
26985,Burke
26987,Tillmans Corner
27004,Grove
27005,Niota
27011,Boyne Falls
27032,Ona
27035,Bascom
27036,Pearson
27040,Union Park
27054,Penfield
27057,Sunland Park
27063,La Monte
27069,Spiceland
27075,Ceresco
27083,Pensacola Beach
27087,Cedar City
27096,Saylorsburg
27106,Westborough
27120,Kewaunee
27124,Dahlonega
27127,El Mirage
27134,Caledonia
27137,Enumclaw
27144,Porter Township
27153,South West Township
27158,Lewes
27167,Warrior Run
27205,Shelburn
27206,Arietta
27208,Elkland
27217,Justice
27220,New Cordell
27246,Pierce
27259,Longboat Key
27261,Thibodaux
27269,Umatilla
27304,Limerick
27329,Blue Mountain
27330,Cross Lanes
27336,Mundelein
27346,St. John
27347,Ansonia
27350,Golden Glades
27356,Elkmont
27363,Kailua
27387,Town and Country
27401,Oneonta
27405,Upton
27409,West Burlington
27412,The Villages
27423,Yerington
27425,Westview
27430,West Jefferson
27436,Center Moriches
27442,Redwood Valley
27443,Matawan
27467,Lakes
27478,Coden
27491,Marlow Heights
27496,Dorton
27501,Hockingport
27503,Lovejoy
27507,Kasilof
27510,Kansas CIty
27511,Deposit
27524,Minot
27529,Igo
27530,Home Garden
27536,Palm City
27542,Chestnut Hill
27558,Big Cypress
27571,Camillus
27584,Shreveport 
27587,Jasmine Estates
27591,Tonawanda
27595,Byfield
27598,Corydon
27599,Poinciana
27622,Doylestown
27635,Pangburn
27648,Dalzell
27650,Brea
27651,San Antonio Heights
27664,Clarkdale
27676,Mocksville
27687,Keithville
27692,Post Falls
27704,Slocomb
27717,Bragg City
27725,Backus
27729,Oviedo
27735,Anchor Point
27737,Los Alamitos
27738,Camas
27749,Lecompton
27754,Ranchos De Taos
27759,Chase City
27763,Myerstown
27764,Naranja
27767,Webster City
27777,Iota
27778,Port Jervis
27779,Matthews
27784,Cuthbert
27787,Courtland
27804,Clemmons
27818,Turner
27830,Northway
27835,Wheatland
27840,Swartz
27854,Nutter Fort
27867,La Grande
27873,Refugio 
27885,Seekonk
27895,Oatfield
27900,Tome
27904,Monte Alto
27912,Hubert
27921,Philipsburg
27934,Highland Heights
27935,Gamaliel
27940,Rowlett
27978,Colonia
27987,Ripperdan
27989,Columbia City
27992,Boons Camp
27996,Willmar
28008,Oakland City
28011,Crenshaw
28015,Croton-on-Hudson
28016,Linville
28019,Hillrose
28034,Webster Groves
28037,Bellows Falls
28046,Brown Deer
28061,Claxton
28062,Orchard Mesa
28066,Calypso 
28068,Norwood Manor
28078,Plainedge
28080,Chalfont
28081,Raleigh 
28083,Central Pennington
28084,Fort McKavett
28086,Union Township
28099,Braeburn
28111,Suring
28114,Sale Creek
28120,Chunchula
28126,Viera
28140,Bass River
28141,Fonde
28143,Prole
28145,Kila
28146,Wellston
28153,Berkley
28162,Manlius
28163,Avalon Park
28171,Geneseo
28174,Wilburton
28175,Colchester
28188,Sienna Plantation
28190,Temple Terrace
28198,Black Oak
28202,Gilmanton
28214,Hermitage
28226,Manheim Township
28228,Hanover Park
28242,Clarkrange
28252,East Northport
28260,Bigfork
28264,Weippe
28272,Dowelltown
28279,Fowler
28288,Beach Park
28290,Lake Wylie
28291,Kennard
28292,Lovelock
28303,Grove Hill
28306,Sodus
28309,Milpitas
28311,Portia
28323,Waite Park
28377,Welches
28396,Smithfield Township
28397,Cornwall
28402,West Peculiar Township
28414,Owyhee
28417,Forksville
28418,Reston
28435,Mendota Heights
28438,Bothel
28445,Morris Township
28448,West Siloam Springs
28449,Collingdale
28454,Benjamin
28460,Cimarron
28481,Progress
28484,Roxboro
28490,The Village
28512,Coral
28520,Fairmount
28528,Stanley
28550,Ashton
28555,Ventnor City
28566,Sylvania
28568,St. Croix Falls
28572,Huntingtown
28588,Gantt
28593,Hazel Dell
28594,Moreland
28608,Dos Palos
28609,Theta
28614,Avon Park
